Time,OpenBid,HighBid,LowBid,CloseBid,OpenAsk,HighAsk,LowAsk,CloseAsk,TotalTicks
21:00:00,1.36856,1.37076,1.36036,1.3612600000000001,1.36904,1.37094,1.3605399999999999,1.36144,7536
21:00:00,1.3612600000000001,1.36246,1.35306,1.3531600000000001,1.36144,1.3625399999999999,1.35334,1.35344,9487
21:00:00,1.3531600000000001,1.35386,1.34386,1.34406,1.35344,1.35404,1.34414,1.3442399999999999,10480
21:00:00,1.34406,1.34466,1.33596,1.34246,1.3442399999999999,1.34474,1.3361399999999999,1.34274,16434
21:00:00,1.34246,1.35456,1.33676,1.34906,1.34274,1.35474,1.33704,1.34934,16302
21:00:00,1.34806,1.35076,1.34596,1.3472600000000001,1.34854,1.35094,1.34614,1.34744,7176
21:00:00,1.3472600000000001,1.35196,1.34566,1.34646,1.34744,1.35204,1.34584,1.34674,8355
21:00:00,1.34646,1.35506,1.34496,1.35416,1.34674,1.35514,1.34514,1.3543399999999999,7326
21:00:00,1.35416,1.35876,1.3533600000000001,1.35636,1.3543399999999999,1.35884,1.35354,1.3565399999999999,8979
21:00:00,1.35636,1.36816,1.3553600000000001,1.36666,1.3565399999999999,1.36834,1.35554,1.36674,8407
21:00:00,1.36756,1.36836,1.36356,1.36456,1.36794,1.3685399999999999,1.36374,1.36484,4456
21:00:00,1.36456,1.36796,1.36016,1.36016,1.36484,1.36804,1.3603399999999999,1.3605399999999999,7086
21:00:00,1.36016,1.36796,1.35626,1.36766,1.3605399999999999,1.36804,1.3564399999999999,1.36784,8452
21:00:00,1.36766,1.36796,1.3591600000000001,1.36246,1.36784,1.36814,1.35934,1.36264,8918
21:00:00,1.36246,1.37186,1.36196,1.36216,1.36264,1.37194,1.36214,1.3623399999999999,8504
21:00:00,1.36306,1.3653600000000001,1.36056,1.36236,1.36334,1.36544,1.36074,1.3624399999999999,3894
21:00:00,1.36236,1.36256,1.35506,1.36036,1.3624399999999999,1.36274,1.35524,1.3605399999999999,6397
21:00:00,1.36036,1.36706,1.35686,1.36456,1.3605399999999999,1.36724,1.35704,1.36474,7004
21:00:00,1.36456,1.37096,1.3634600000000001,1.36896,1.36474,1.37104,1.36364,1.36924,7089
21:00:00,1.36896,1.37976,1.36626,1.37676,1.36924,1.37984,1.3664399999999999,1.37684,7023
21:00:00,1.37686,1.3815600000000001,1.37656,1.38016,1.37724,1.38164,1.3767399999999999,1.38034,6652
21:00:00,1.38016,1.38476,1.37776,1.38376,1.38034,1.38493,1.3779299999999999,1.38404,12416
21:00:00,1.38376,1.3913799999999998,1.38236,1.39026,1.38404,1.39145,1.3825399999999999,1.3905399999999999,12104
21:00:00,1.39026,1.39268,1.38626,1.38846,1.3905399999999999,1.39276,1.3864299999999998,1.3887399999999999,12593
21:00:00,1.38846,1.3895,1.38436,1.3876600000000001,1.3887399999999999,1.38963,1.3845100000000001,1.38783,18968
21:00:00,1.38656,1.38877,1.3848200000000002,1.38666,1.38694,1.38893,1.38494,1.38684,10789
21:00:00,1.38666,1.39876,1.38278,1.39826,1.38684,1.39893,1.38294,1.39844,15906
21:00:00,1.39826,1.39869,1.3935600000000001,1.3956600000000001,1.39844,1.3988399999999999,1.39374,1.39584,21798
21:00:00,1.3956600000000001,1.40978,1.39541,1.40636,1.39584,1.40994,1.3956899999999999,1.40654,23777
21:00:00,1.40636,1.41196,1.4041700000000001,1.40897,1.40654,1.41204,1.4043299999999999,1.40904,21287
21:00:00,1.40906,1.41296,1.40667,1.40856,1.40944,1.41319,1.4068200000000002,1.4087399999999999,16173
21:00:00,1.40856,1.4153799999999999,1.40606,1.4136600000000001,1.4087399999999999,1.41554,1.40622,1.41393,21604
